"Team" "Date" "" "Opponent" "" "Cmp" "Att" "Pct" "Yds" "TD" "Att" "Yds" "Avg" "TD" "Plays" "Yds" "Avg" "Pass" "Rush" "Pen" "Tot" "No." "Yds" "Fum" "Int" "TO"
"1" "houston" "2017-09-09" "@" "Arizona" "W (19-16)" 22 37 59.5 219 0 39 152 3.9 1 76 371 4.9 10 8 3 21 4 35 1 1 2
"2" "houston" "2017-09-16" "" "Rice" "W (38-3)" 11 25 44 113 0 35 129 3.7 0 60 242 4 7 7 0 14 2 15 2 1 3
"3" "houston" "2017-09-23" "" "Texas Tech" "L (24-27)" 29 45 64.4 321 2 33 200 6.1 1 78 521 6.7 11 5 1 17 15 117 0 1 1
"4" "houston" "2017-09-30" "@" "Temple" "W (20-13)" 20 42 47.6 182 1 37 142 3.8 0 79 324 4.1 9 11 2 22 10 83 0 3 3
"5" "houston" "2017-10-07" "" "Southern Methodist" "W (35-22)" 41 59 69.5 397 1 26 147 5.7 1 85 544 6.4 17 11 2 30 9 95 0 2 2
"6" "houston" "2017-10-14" "@" "Tulsa" "L (17-45)" 9 18 50 128 1 53 288 5.4 4 71 416 5.9 3 16 1 20 9 70 0 1 1
"7" "houston" "2017-10-19" "" "Memphis" "L (38-42)" 33 53 62.3 471 1 23 30 1.3 4 76 501 6.6 20 4 4 28 2 10 1 1 2
"8" "houston" "2017-10-28" "@" "South Florida" "W (28-24)" 23 38 60.5 325 0 55 137 2.5 3 93 462 5 14 6 1 21 5 35 0 0 0
"9" "houston" "2017-11-04" "" "East Carolina" "W (52-27)" 54 74 73 468 3 24 36 1.5 0 98 504 5.1 27 4 2 33 7 51 1 2 3
"10" "houston" "2017-11-18" "@" "Tulane" "L (17-20)" 17 25 68 251 1 47 166 3.5 1 72 417 5.8 12 11 0 23 5 42 0 1 1
"11" "houston" "2017-11-24" "" "Navy" "W (24-14)" 3 8 37.5 74 0 60 217 3.6 2 68 291 4.3 2 16 1 19 4 32 0 1 1
"12" "houston" "2017-12-24" "N" "Fresno State*" "L (27-33)" 33 49 67.3 342 0 39 131 3.4 2 88 473 5.4 15 8 3 26 7 52 1 1 2
"13" "rice" "2017-08-26" "N" "Stanford" "L (7-62)" 21 37 56.8 369 3 36 287 8 5 73 656 9 12 12 3 27 4 35 0 0 0
"14" "rice" "2017-09-09" "@" "Texas-El Paso" "W (31-14)" 18 33 54.5 203 1 24 26 1.1 1 57 229 4 9 3 0 12 2 15 1 0 1
"15" "rice" "2017-09-16" "@" "Houston" "L (3-38)" 34 38 89.5 354 2 37 130 3.5 3 75 484 6.5 16 6 0 22 2 10 0 0 0
"16" "rice" "2017-09-23" "" "Florida International" "L (7-13)" 17 28 60.7 172 1 33 99 3 0 61 271 4.4 10 7 1 18 5 57 0 1 1
"17" "rice" "2017-09-30" "@" "Pittsburgh" "L (10-42)" 28 34 82.4 410 4 33 69 2.1 2 67 479 7.1 18 5 1 24 2 25 1 0 1
"18" "rice" "2017-10-07" "" "Army" "L (12-49)" 1 3 33.3 9 0 65 418 6.4 6 68 427 6.3 0 20 1 21 5 35 0 1 1
"19" "rice" "2017-10-21" "@" "Texas-San Antonio" "L (7-20)" 12 22 54.5 134 1 40 314 7.9 0 62 448 7.2 6 12 1 19 9 63 1 0 1
"20" "rice" "2017-10-28" "" "Louisiana Tech" "L (28-42)" 21 32 65.6 237 1 39 180 4.6 4 71 417 5.9 13 10 1 24 4 25 0 0 0
"21" "rice" "2017-11-04" "@" "Alabama-Birmingham" "L (21-52)" 20 21 95.2 197 3 36 242 6.7 3 57 439 7.7 9 11 1 21 1 15 0 0 0
"22" "rice" "2017-11-11" "" "Southern Mississippi" "L (34-43)" 22 31 71 331 3 36 186 5.2 2 67 517 7.7 16 12 0 28 10 86 0 0 0
"23" "rice" "2017-11-18" "@" "Old Dominion" "L (21-24)" 20 29 69 188 0 39 172 4.4 3 68 360 5.3 10 10 1 21 2 20 0 0 0
"24" "rice" "2017-11-25" "" "North Texas" "L (14-30)" 18 25 72 195 1 44 188 4.3 1 69 383 5.6 11 13 1 25 3 20 0 1 1
"25" "texas-tech" "2017-09-02" "" "Eastern Washington" "W (56-10)" 23 36 63.9 220 1 36 81 2.3 0 72 301 4.2 12 5 2 19 5 55 1 2 3
"26" "texas-tech" "2017-09-16" "" "Arizona State" "W (52-45)" 27 41 65.9 326 3 44 168 3.8 3 85 494 5.8 13 11 3 27 4 37 1 0 1
"27" "texas-tech" "2017-09-23" "@" "Houston" "W (27-24)" 32 52 61.5 317 2 31 110 3.5 1 83 427 5.1 14 8 3 25 6 50 3 2 5
"28" "texas-tech" "2017-09-30" "" "Oklahoma State" "L (34-41)" 27 38 71.1 376 3 44 221 5 2 82 597 7.3 20 9 3 32 8 78 0 1 1
"29" "texas-tech" "2017-10-07" "@" "Kansas" "W (65-19)" 23 43 53.5 256 1 33 112 3.4 1 76 368 4.8 9 7 1 17 4 35 2 2 4
"30" "texas-tech" "2017-10-14" "@" "West Virginia" "L (35-46)" 32 41 78 352 5 29 44 1.5 1 70 396 5.7 16 5 7 28 9 93 0 1 1
"31" "texas-tech" "2017-10-21" "" "Iowa State" "L (13-31)" 22 32 68.8 192 3 36 208 5.8 0 68 400 5.9 11 8 1 20 0 0 0 1 1
"32" "texas-tech" "2017-10-28" "@" "Oklahoma" "L (27-49)" 22 34 64.7 281 4 47 336 7.1 3 81 617 7.6 15 14 2 31 7 94 0 1 1
"33" "texas-tech" "2017-11-04" "" "Kansas State" "L (35-42)" 18 28 64.3 263 2 36 145 4 2 64 408 6.4 14 6 4 24 6 46 0 1 1
"34" "texas-tech" "2017-11-11" "N" "Baylor" "W (38-24)" 43 63 68.3 417 3 29 106 3.7 0 92 523 5.7 21 7 3 31 6 65 3 1 4
"35" "texas-tech" "2017-11-18" "" "Texas Christian" "L (3-27)" 6 17 35.3 85 1 42 204 4.9 1 59 289 4.9 4 10 3 17 6 55 1 0 1
"36" "texas-tech" "2017-11-24" "@" "Texas" "W (27-23)" 29 51 56.9 272 1 33 116 3.5 1 84 388 4.6 11 6 1 18 5 37 2 2 4
"37" "texas-tech" "2017-12-23" "N" "South Florida*" "L (34-38)" 17 34 50 311 4 48 250 5.2 1 82 561 6.8 12 11 4 27 10 100 2 0 2
"38" "temple" "2017-09-02" "@" "Notre Dame" "L (16-49)" 17 30 56.7 184 2 44 422 9.6 5 74 606 8.2 7 16 3 26 4 20 0 1 1
"39" "temple" "2017-09-09" "" "Villanova" "W (16-13)" 27 41 65.9 382 1 30 20 0.7 0 71 402 5.7 16 3 0 19 5 35 1 0 1
"40" "temple" "2017-09-15" "" "Massachusetts" "W (29-21)" 23 39 59 377 2 33 81 2.5 1 72 458 6.4 18 5 2 25 6 48 1 0 1
"41" "temple" "2017-09-21" "@" "South Florida" "L (7-43)" 8 20 40 96 0 63 312 5 4 83 408 4.9 4 15 3 22 9 70 2 0 2
"42" "temple" "2017-09-30" "" "Houston" "L (13-20)" 25 36 69.4 226 1 31 162 5.2 1 67 388 5.8 10 9 4 23 12 108 0 1 1
"43" "temple" "2017-10-07" "@" "East Carolina" "W (34-10)" 20 38 52.6 253 1 22 34 1.5 0 60 287 4.8 11 3 1 15 8 96 0 1 1
"44" "temple" "2017-10-14" "" "Connecticut" "L (24-28)" 18 28 64.3 105 3 36 143 4 0 64 248 3.9 6 6 3 15 6 51 1 1 2
"45" "temple" "2017-10-21" "@" "Army" "L (28-31)" 8 18 44.4 141 1 50 248 5 3 68 389 5.7 7 11 1 19 5 46 0 1 1
"46" "temple" "2017-11-02" "" "Navy" "W (34-26)" 13 19 68.4 226 3 52 136 2.6 0 71 362 5.1 8 11 1 20 7 69 0 1 1
"47" "temple" "2017-11-10" "@" "Cincinnati" "W (35-24)" 21 37 56.8 221 2 35 184 5.3 1 72 405 5.6 8 10 3 21 11 107 1 0 1
"48" "temple" "2017-11-18" "" "Central Florida" "L (19-45)" 18 28 64.3 254 4 40 130 3.3 2 68 384 5.6 9 7 1 17 7 55 0 0 0
"49" "temple" "2017-11-25" "@" "Tulsa" "W (43-22)" 6 19 31.6 55 1 54 314 5.8 1 73 369 5.1 2 18 5 25 6 55 1 2 3
"50" "temple" "2017-12-21" "N" "Florida International*" "W (28-3)" 17 34 50 169 0 40 88 2.2 0 74 257 3.5 11 5 4 20 6 59 1 2 3
"51" "tulsa" "2017-08-31" "@" "Oklahoma State" "L (24-59)" 21 26 80.8 308 3 37 332 9 4 63 640 10.2 8 15 2 25 5 51 2 0 2
