"Team" "Date" "" "Opponent" "" "Cmp" "Att" "Pct" "Yds" "TD" "Att" "Yds" "Avg" "TD" "Plays" "Yds" "Avg" "Pass" "Rush" "Pen" "Tot" "No." "Yds" "Fum" "Int" "TO"
"1" "alabama" "2017-09-02" "N" "Florida State" "W (24-7)" 19 33 57.6 210 1 27 40 1.5 0 60 250 4.2 10 4 1 15 4 30 1 2 3
"2" "alabama" "2017-09-09" "" "Fresno State" "W (41-10)" 26 41 63.4 216 1 21 71 3.4 0 62 287 4.6 11 5 2 18 1 6 0 1 1
"3" "alabama" "2017-09-16" "" "Colorado State" "W (41-23)" 21 38 55.3 247 2 40 144 3.6 1 78 391 5 11 8 3 22 3 14 0 2 2
"4" "alabama" "2017-09-23" "@" "Vanderbilt" "W (59-0)" 7 22 31.8 38 0 16 40 2.5 0 38 78 2.1 1 1 1 3 5 20 1 1 2
"5" "alabama" "2017-09-30" "" "Mississippi" "W (66-3)" 14 29 48.3 165 0 26 88 3.4 0 55 253 4.6 5 4 2 11 3 30 0 2 2
"6" "alabama" "2017-10-07" "@" "Texas A&M" "W (27-19)" 19 29 65.5 237 1 40 71 1.8 1 69 308 4.5 9 4 3 16 6 45 2 1 3
"7" "alabama" "2017-10-14" "" "Arkansas" "W (41-9)" 23 43 53.5 200 1 29 27 0.9 0 72 227 3.2 9 3 3 15 5 25 0 1 1
"8" "alabama" "2017-10-21" "" "Tennessee" "W (45-7)" 9 16 56.3 44 0 30 64 2.1 0 46 108 2.3 2 3 2 7 9 81 0 1 1
"9" "alabama" "2017-11-04" "" "Louisiana State" "W (24-10)" 15 31 48.4 155 0 42 151 3.6 1 73 306 4.2 8 8 0 16 5 30 0 1 1
"10" "alabama" "2017-11-11" "@" "Mississippi State" "W (31-24)" 13 24 54.2 158 0 49 172 3.5 3 73 330 4.5 9 10 3 22 4 30 0 0 0
"11" "alabama" "2017-11-18" "" "Mercer" "W (56-0)" 7 22 31.8 54 0 39 107 2.7 0 61 161 2.6 5 4 0 9 2 10 0 3 3
