"Team" "Date" "" "Opponent" "Result" "Cmp" "Att" "Pct" "Yds" "TD" "Att" "Yds" "Avg" "TD" "Plays" "Yds" "Avg" "Pass" "Rush" "Pen" "Tot" "No." "Yds" "Fum" "Int" "Tot"
"2" "houston" "2017-09-09" "@" "Arizona" "W (19-16)" 25 32 78.1 225 1 37 158 4.3 1 69 383 5.6 11 6 1 18 10 110 0 2 2
"3" "houston" "2017-09-16" "" "Rice" "W (38-3)" 34 38 89.5 354 2 37 130 3.5 3 75 484 6.5 16 6 0 22 2 10 0 0 0
"4" "houston" "2017-09-23" "" "Texas Tech" "L (24-27)" 32 52 61.5 317 2 31 110 3.5 1 83 427 5.1 14 8 3 25 6 50 3 2 5
"5" "houston" "2017-09-30" "@" "Temple" "W (20-13)" 25 36 69.4 226 1 31 162 5.2 1 67 388 5.8 10 9 4 23 12 108 0 1 1
"6" "houston" "2017-10-07" "" "Southern Methodist" "W (35-22)" 20 28 71.4 198 3 40 265 6.6 2 68 463 6.8 10 14 3 27 4 48 0 2 2
"7" "houston" "2017-10-14" "@" "Tulsa" "L (17-45)" 25 41 61 258 0 47 146 3.1 2 88 404 4.6 13 11 1 25 6 36 1 2 3
"8" "houston" "2017-10-19" "" "Memphis" "L (38-42)" 29 41 70.7 315 1 54 239 4.4 4 95 554 5.8 16 9 0 25 8 72 2 1 3
"9" "houston" "2017-10-28" "@" "South Florida" "W (28-24)" 14 25 56 142 1 48 255 5.3 3 73 397 5.4 5 11 0 16 5 45 1 0 1
"10" "houston" "2017-11-04" "" "East Carolina" "W (52-27)" 15 22 68.2 330 3 26 142 5.5 3 48 472 9.8 8 7 1 16 4 34 0 0 0
"11" "houston" "2017-11-18" "@" "Tulane" "L (17-20)" 18 26 69.2 225 0 33 220 6.7 2 59 445 7.5 13 8 1 22 5 46 1 1 2
"12" "houston" "2017-11-24" "" "Navy" "W (24-14)" 21 27 77.8 277 1 32 103 3.2 2 59 380 6.4 10 5 1 16 4 43 2 0 2
"13" "houston" "2017-12-24" "N" "Fresno State*" "L (27-33)" 23 43 53.5 269 1 30 72 2.4 1 73 341 4.7 13 3 1 17 6 44 1 1 2
"21" "rice" "2017-08-26" "N" "Stanford" "L (7-62)" 10 24 41.7 95 0 38 146 3.8 1 62 241 3.9 5 8 1 14 6 45 1 1 2
"31" "rice" "2017-09-09" "@" "Texas-El Paso" "W (31-14)" 10 18 55.6 131 1 49 306 6.2 3 67 437 6.5 6 16 0 22 4 31 1 0 1
"41" "rice" "2017-09-16" "@" "Houston" "L (3-38)" 11 25 44 113 0 35 129 3.7 0 60 242 4 7 7 0 14 2 15 2 1 3
"51" "rice" "2017-09-23" "" "Florida International" "L (7-13)" 16 27 59.3 148 0 41 100 2.4 1 68 248 3.6 11 6 2 19 4 30 0 1 1
"61" "rice" "2017-09-30" "@" "Pittsburgh" "L (10-42)" 15 32 46.9 222 1 23 55 2.4 0 55 277 5 9 4 1 14 4 37 0 3 3
"71" "rice" "2017-10-07" "" "Army" "L (12-49)" 9 21 42.9 146 1 37 200 5.4 1 58 346 6 5 12 0 17 3 33 5 1 6
"81" "rice" "2017-10-21" "@" "Texas-San Antonio" "L (7-20)" 6 14 42.9 145 1 41 155 3.8 0 55 300 5.5 4 8 1 13 7 70 1 2 3
"91" "rice" "2017-10-28" "" "Louisiana Tech" "L (28-42)" 7 17 41.2 187 1 46 247 5.4 3 63 434 6.9 5 14 0 19 5 49 1 3 4
"101" "rice" "2017-11-04" "@" "Alabama-Birmingham" "L (21-52)" 14 24 58.3 227 1 35 236 6.7 2 59 463 7.8 9 8 0 17 6 50 1 2 3
"111" "rice" "2017-11-11" "" "Southern Mississippi" "L (34-43)" 10 16 62.5 127 0 49 254 5.2 5 65 381 5.9 7 14 5 26 3 30 0 0 0
