"Team" "Date" "" "Opponent" "Result" "Cmp" "Att" "Pct" "Yds" "TD" "Att" "Yds" "Avg" "TD" "Plays" "Yds" "Avg" "Pass" "Rush" "Pen" "Tot" "No." "Yds" "Fum" "Int" "Tot"
"2" "alabama" "2017-09-02" "N" "Florida State" "W (24-7)" 10 18 55.6 96 1 42 173 4.1 1 60 269 4.5 4 8 1 13 5 30 0 0 0
"3" "alabama" "2017-09-09" "" "Fresno State" "W (41-10)" 20 27 74.1 192 2 39 305 7.8 3 66 497 7.5 11 17 0 28 4 30 0 0 0
"4" "alabama" "2017-09-16" "" "Colorado State" "W (41-23)" 13 21 61.9 248 2 39 239 6.1 3 60 487 8.1 10 12 1 23 4 45 0 0 0
"5" "alabama" "2017-09-23" "@" "Vanderbilt" "W (59-0)" 17 27 63 181 2 66 496 7.5 6 93 677 7.3 12 24 2 38 6 40 0 0 0
"6" "alabama" "2017-09-30" "" "Mississippi" "W (66-3)" 15 24 62.5 248 3 51 365 7.2 5 75 613 8.2 11 14 1 26 7 60 0 0 0
"7" "alabama" "2017-10-07" "@" "Texas A&M" "W (27-19)" 13 22 59.1 123 1 44 232 5.3 2 66 355 5.4 6 8 2 16 6 50 1 0 1
"8" "alabama" "2017-10-14" "" "Arkansas" "W (41-9)" 13 21 61.9 188 1 43 308 7.2 4 64 496 7.8 9 14 0 23 6 66 1 1 2
"9" "alabama" "2017-10-21" "" "Tennessee" "W (45-7)" 22 33 66.7 332 2 53 272 5.1 4 86 604 7 16 16 3 35 7 56 1 1 2
"10" "alabama" "2017-11-04" "" "Louisiana State" "W (24-10)" 11 24 45.8 183 1 36 116 3.2 2 60 299 5 6 7 1 14 1 11 0 0 0
"11" "alabama" "2017-11-11" "@" "Mississippi State" "W (31-24)" 10 19 52.6 242 1 38 202 5.3 3 57 444 7.8 7 11 1 19 5 60 0 0 0
"12" "alabama" "2017-11-18" "" "Mercer" "W (56-0)" 14 18 77.8 265 6 42 265 6.3 2 60 530 8.8 10 12 0 22 1 5 2 0 2
